access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,mode
write,1650.8540,1655.7825,0.0006,16384.0000,1024.0000,0.0000,0.0097,0.0000,0.0097,1,0,none
read,12168.4250,12203.8305,0.0001,16384.0000,1024.0000,0.0000,0.0013,0.0000,0.0013,1,0,none
write,1741.8206,1745.7627,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0092,1,1,none
read,17508.1826,17618.4993,0.0001,16384.0000,1024.0000,0.0000,0.0009,0.0000,0.0009,1,1,none
write,1741.8206,1745.3995,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0092,1,2,none
read,17167.7831,17242.7708,0.0001,16384.0000,1024.0000,0.0000,0.0009,0.0000,0.0009,1,2,none
write,1748.6285,1752.2812,0.0006,16384.0000,1024.0000,0.0000,0.0091,0.0000,0.0092,1,3,none
read,17336.3121,17408.2656,0.0001,16384.0000,1024.0000,0.0000,0.0009,0.0000,0.0009,1,3,none
write,1666.1419,1669.7901,0.0006,16384.0000,1024.0000,0.0000,0.0096,0.0000,0.0096,1,4,none
read,13400.3323,13467.5625,0.0001,16384.0000,1024.0000,0.0000,0.0012,0.0000,0.0012,1,4,none
write,495.5463,229040.4915,0.0000,64.0000,4.0000,0.0001,0.0001,0.0000,0.0001,1,0,none
read,2978.9091,945195.2676,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,none
write,891.6463,295633.7621,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,none
read,3276.8000,1001624.8358,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,none
write,919.8035,300936.6099,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,none
read,3276.8000,1001624.8358,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,none
write,932.8968,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,none
read,3120.7619,1001624.8358,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,none
write,932.8968,300936.6099,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,none
read,3276.8000,1001624.8358,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,none
